"year","bottom.temp"
1975,0.791214153845245
1976,1.04734127439261
1977,2.62123266602787
1978,3.2906051268013
1979,3.86074565846159
1980,3.49355327843903
1981,3.93465103947193
1982,3.0773494452233
1983,2.70386950907192
1984,1.32162480314059
1985,1.72995810655097
1986,1.6086371170496
1987,3.76068220376753
1988,1.79928698782203
1989,3.55119979971945
1990,2.05787133194892
1991,2.44811115446527
1992,0.732231543050605
1993,2.9902454219416
1994,0.932537952841744
1995,0.873567920739171
1996,3.30033605788609
1997,2.41127226762988
1998,3.07597090516785
1999,2.02644673111494
2000,2.70325322988212
2001,3.04660584872871
2002,3.27253520877214
2003,3.91618906980958
2004,3.28347608415354
2005,3.83064807602219
2006,1.65797746732347
2007,0.797640449793821
2008,0.925962283916067
2009,0.423121824226014
2010,0.187427085828765
2011,2.67082253331776
2012,0.209563040609697
2013,0.907982640004728
2014,3.10956648917086
2015,3.52681862169601
2016,4.55362964110668
2017,2.30791650258676
2018,4.4815615479773
2019,4.28604164885732
2020,NA
2021,4.10270199332486
